tanggal,harga_oz,kurs_oz,idr_oz,harga_gr,kurs_gr,idr_gr,update_asli
30 Maret 2020,"1.620,12 (-1.004,37)","16.336,00 (+174,00)",26.466.280,"52,09","16.336,00","850.911 (-512.827,78)","30 Maret 2020, pukul 23:59"
31 Maret 2020,"1.599,03 (-1.025,46)","16.367,01 (+205,01)",26.171.340,"51,41","16.367,01","841.428 (-522.310,34)","31 Maret 2020, pukul 23:59"
01 April 2020,"1.584,40 (-1.040,09)","16.413,01 (+251,01)",26.004.773,"50,94","16.413,01","836.073 (-527.665,59)","01 April 2020, pukul 23:59"
02 April 2020,"1.612,27 (-1.012,22)","16.741,01 (+579,01)",26.991.028,"51,84","16.741,01","867.782 (-495.956,75)","02 April 2020, pukul 23:59"
03 April 2020,"1.618,61 (-1.005,88)","16.464,00 (+302,00)",26.648.795,"52,04","16.464,00","856.779 (-506.959,80)","03 April 2020, pukul 23:59"
04 April 2020,"1.618,13 (-1.006,36)","16.464,00 (+302,00)",26.640.892,"52,02","16.464,00","856.525 (-507.213,88)","04 April 2020, pukul 23:59"
05 April 2020,"1.618,13 (-1.006,36)","16.464,00 (+302,00)",26.640.892,"52,02","16.464,00","856.525 (-507.213,88)","05 April 2020, pukul 23:59"
06 April 2020,"1.651,73 (-972,76)","16.556,00 (+394,00)",27.346.042,"53,10","16.556,00","879.196 (-484.542,79)","06 April 2020, pukul 23:59"
07 April 2020,"1.652,63 (-971,86)","16.410,00 (+248,00)",27.119.658,"53,13","16.410,00","871.917 (-491.821,19)","07 April 2020, pukul 23:59"
08 April 2020,"1.650,14 (-974,35)","16.245,01 (+83,01)",26.806.541,"53,05","16.245,01","861.850 (-501.888,16)","08 April 2020, pukul 23:59"
09 April 2020,"1.684,33 (-940,16)","16.241,01 (+79,01)",27.355.220,"54,15","16.241,01","879.491 (-484.247,70)","09 April 2020, pukul 23:59"
10 April 2020,"1.686,57 (-937,92)","16.241,01 (+79,01)",27.391.600,"54,22","16.241,01","880.660 (-483.078,06)","10 April 2020, pukul 23:59"
11 April 2020,"1.688,78 (-935,71)","16.241,01 (+79,01)",27.427.493,"54,30","16.241,01","881.814 (-481.924,08)","11 April 2020, pukul 23:59"
12 April 2020,"1.688,78 (-935,71)","16.241,01 (+79,01)",27.427.493,"54,30","16.241,01","881.814 (-481.924,08)","12 April 2020, pukul 23:59"
13 April 2020,"1.713,98 (-910,51)","15.840,00 (-322,00)",27.149.443,"55,11","15.840,00","872.875 (-490.863,59)","13 April 2020, pukul 23:59"
14 April 2020,"1.733,39 (-891,10)","15.722,00 (-440,00)",27.252.358,"55,73","15.722,00","876.184 (-487.554,81)","14 April 2020, pukul 23:59"
15 April 2020,"1.715,18 (-909,31)","15.707,01 (-454,99)",26.940.349,"55,14","15.707,01","866.152 (-497.586,11)","15 April 2020, pukul 23:59"
16 April 2020,"1.712,04 (-912,45)","15.787,01 (-374,99)",27.027.993,"55,04","15.787,01","868.970 (-494.768,31)","16 April 2020, pukul 23:59"
