"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"24/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"21/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"20/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"19/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"18/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"17/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"14/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"13/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"12/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"11/07/2023","5,08","5,08","5,08","5,08","","0,20%"
"10/07/2023","5,07","5,07","5,07","5,07","","-0,20%"
"07/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"06/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"05/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"03/07/2023","5,08","5,08","5,08","5,08","","0,00%"
"30/06/2023","5,08","5,08","5,08","5,08","","0,20%"
"29/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"28/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"27/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"26/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"23/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"22/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"21/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"20/06/2023","5,07","5,07","5,07","5,07","","-0,20%"
"16/06/2023","5,08","5,08","5,08","5,08","","0,20%"
"15/06/2023","5,07","5,07","5,07","5,07","","0,00%"
"14/06/2023","5,07","5,08","5,08","5,08","","-0,20%"
"13/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"12/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"09/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"08/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"07/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"06/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"05/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"02/06/2023","5,08","5,08","5,08","5,08","","0,00%"
"01/06/2023","5,08","5,08","5,08","5,08","","0,00%"
