"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"04/07/2024","7.220,89","7.212,70","7.262,84","7.204,44","15,86B","0,34%"
"03/07/2024","7.196,75","7.153,77","7.196,75","7.126,81","12,68B","1,01%"
"02/07/2024","7.125,14","7.149,04","7.176,87","7.099,05","12,19B","-0,20%"
"01/07/2024","7.139,63","7.076,63","7.139,63","7.075,38","10,83B","1,08%"
"28/06/2024","7.063,58","6.989,37","7.084,62","6.987,80","10,47B","1,37%"
"27/06/2024","6.967,95","6.929,15","6.968,14","6.915,83","8,52B","0,90%"
"26/06/2024","6.905,64","6.885,82","6.936,26","6.885,40","11,18B","0,33%"
"25/06/2024","6.882,70","6.874,87","6.890,44","6.843,65","10,36B","-0,09%"
"24/06/2024","6.889,17","6.877,47","6.914,81","6.870,31","11,40B","0,13%"
"21/06/2024","6.879,98","6.838,48","6.945,83","6.823,06","20,22B","0,89%"
"20/06/2024","6.819,32","6.751,24","6.825,56","6.728,40","13,89B","1,37%"
"19/06/2024","6.726,92","6.739,90","6.791,53","6.698,85","21,57B","-0,12%"
"14/06/2024","6.734,83","6.829,99","6.840,20","6.713,27","14,38B","-1,42%"
"13/06/2024","6.831,56","6.893,84","6.896,65","6.831,56","15,44B","-0,27%"
"12/06/2024","6.850,10","6.859,35","6.866,27","6.821,51","16,51B","-0,08%"
"11/06/2024","6.855,69","6.900,31","6.932,46","6.855,69","15,01B","-0,95%"
"10/06/2024","6.921,55","6.910,72","6.929,10","6.846,38","22,84B","0,34%"
"07/06/2024","6.897,95","6.987,79","6.994,12","6.887,81","10,99B","-1,10%"
"06/06/2024","6.974,90","6.992,56","7.032,57","6.939,55","13,00B","0,39%"
"05/06/2024","6.947,67","7.114,54","7.118,35","6.934,94","13,71B","-2,14%"
"04/06/2024","7.099,31","7.071,09","7.149,19","7.065,03","16,07B","0,90%"
"03/06/2024","7.036,19","7.030,21","7.088,40","6.993,09","14,18B","0,94%"
"31/05/2024","6.970,74","7.076,37","7.102,22","6.959,23","26,97B","-0,90%"
"30/05/2024","7.034,14","7.125,77","7.134,71","6.984,98","17,77B","-1,49%"
"29/05/2024","7.140,23","7.275,53","7.282,00","7.127,21","14,46B","-1,56%"
"28/05/2024","7.253,63","7.228,51","7.308,14","7.228,41","16,64B","1,08%"
"27/05/2024","7.176,42","7.219,98","7.256,18","7.171,49","19,09B","-0,64%"
"22/05/2024","7.222,38","7.198,19","7.239,86","7.191,11","13,57B","0,51%"
"21/05/2024","7.186,04","7.258,41","7.295,06","7.179,53","13,56B","-1,11%"
"20/05/2024","7.266,69","7.329,40","7.374,55","7.243,01","15,81B","-0,69%"
"17/05/2024","7.317,24","7.249,73","7.356,71","7.245,20","18,15B","0,97%"
"16/05/2024","7.246,70","7.203,17","7.270,76","7.201,92","15,47B","0,93%"
"15/05/2024","7.179,83","7.085,38","7.192,15","7.082,12","13,99B","1,36%"
"14/05/2024","7.083,76","7.095,52","7.136,64","7.071,50","13,75B","-0,22%"
"13/05/2024","7.099,26","7.061,37","7.111,60","7.052,23","13,46B","0,15%"
"08/05/2024","7.088,79","7.129,46","7.164,31","7.071,35","14,79B","-0,49%"
"07/05/2024","7.123,61","7.136,85","7.159,77","7.108,18","14,85B","-0,17%"
"06/05/2024","7.135,89","7.171,59","7.178,77","7.102,69","16,50B","0,02%"
"03/05/2024","7.134,72","7.142,86","7.165,10","7.094,62","15,95B","0,24%"
"02/05/2024","7.117,42","7.227,61","7.232,95","7.072,47","14,56B","-1,61%"
"01/05/2024","7.234,20","7.187,41","7.266,87","7.179,69","","0,00%"
"30/04/2024","7.234,20","7.187,41","7.266,87","7.179,69","15,66B","1,10%"
"29/04/2024","7.155,78","7.021,49","7.155,78","7.021,49","13,00B","1,70%"
"26/04/2024","7.036,08","7.137,93","7.149,25","7.036,08","13,76B","-1,67%"
"25/04/2024","7.155,29","7.167,98","7.177,06","7.132,10","14,04B","-0,27%"
"24/04/2024","7.174,53","7.127,05","7.191,18","7.126,85","15,41B","0,90%"
"23/04/2024","7.110,81","7.102,81","7.165,95","7.099,84","17,29B","0,52%"
"22/04/2024","7.073,82","7.099,52","7.117,02","7.026,48","12,16B","-0,19%"
"19/04/2024","7.087,32","7.131,46","7.141,58","7.036,21","15,07B","-1,11%"
"18/04/2024","7.166,81","7.151,74","7.180,56","7.135,52","12,94B","0,50%"
"17/04/2024","7.130,84","7.199,83","7.234,37","7.130,84","14,35B","-0,47%"
"16/04/2024","7.164,81","7.130,63","7.188,09","7.066,57","17,56B","-1,68%"
"05/04/2024","7.286,88","7.245,32","7.298,86","7.239,27","9,49B","0,45%"
"04/04/2024","7.254,40","7.170,72","7.254,40","7.165,83","10,89B","1,22%"
"03/04/2024","7.166,84","7.214,02","7.226,35","7.158,74","11,10B","-0,97%"
"02/04/2024","7.236,98","7.199,12","7.236,98","7.153,94","12,77B","0,44%"
"01/04/2024","7.205,06","7.286,11","7.295,00","7.137,46","12,43B","-1,15%"
"28/03/2024","7.288,81","7.289,16","7.313,01","7.244,95","12,41B","-0,29%"
